sleeper_id,player,position,team,opponent,pts_ppr,pts_half_ppr,pts_std,stats_json
7075,,TE,ATL,GB,0.71,0.54,0.37,"{""adp_dd_ppr"": 350.0, ""bonus_rec_te"": 0.33, ""def_fum_td"": 0.0, ""fum"": 0.0, ""fum_lost"": 0.0, ""gp"": 1.0, ""pos_adp_dd_ppr"": 80.0, ""pts_half_ppr"": 0.54, ""pts_ppr"": 0.71, ""pts_std"": 0.37, ""rec"": 0.33, ""rec_0_4"": 0.07, ""rec_10_19"": 0.1, ""rec_20_29"": 0.07, ""rec_2pt"": 0.0, ""rec_30_39"": 0.03, ""rec_40p"": 0.03, ""rec_5_9"": 0.07, ""rec_fd"": 0.26, ""rec_td"": 0.02, ""rec_tgt"": 0.43, ""rec_yd"": 2.56}"
7553,,TE,ATL,GB,9.43,7.66,5.89,"{""adp_dd_ppr"": 117.0, ""bonus_rec_te"": 3.54, ""def_fum_td"": 0.0, ""fum"": 0.03, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 15.0, ""pts_half_ppr"": 7.66, ""pts_ppr"": 9.43, ""pts_std"": 5.89, ""rec"": 3.54, ""rec_0_4"": 0.71, ""rec_10_19"": 1.06, ""rec_20_29"": 0.71, ""rec_2pt"": 0.02, ""rec_30_39"": 0.35, ""rec_40p"": 0.35, ""rec_5_9"": 0.71, ""rec_fd"": 4.03, ""rec_td"": 0.31, ""rec_tgt"": 4.97, ""rec_yd"": 40.31}"
8112,,WR,ATL,GB,13.43,11.09,8.76,"{""adp_dd_ppr"": 38.0, ""bonus_rec_wr"": 4.67, ""def_fum_td"": 0.0, ""fum"": 0.04, ""fum_lost"": 0.02, ""gp"": 1.0, ""pos_adp_dd_ppr"": 22.0, ""pts_half_ppr"": 11.09, ""pts_ppr"": 13.43, ""pts_std"": 8.76, ""rec"": 4.67, ""rec_0_4"": 0.93, ""rec_10_19"": 1.4, ""rec_20_29"": 0.93, ""rec_2pt"": 0.02, ""rec_30_39"": 0.47, ""rec_40p"": 0.47, ""rec_5_9"": 0.93, ""rec_fd"": 6.2, ""rec_td"": 0.42, ""rec_tgt"": 7.9, ""rec_yd"": 62.01, ""rush_2pt"": 0.0, ""rush_40p"": 0.0, ""rush_att"": 0.06, ""rush_fd"": 0.02, ""rush_td"": 0.0, ""rush_yd"": 0.22}"
8119,,WR,ATL,GB,4.02,3.3,2.58,"{""adp_dd_ppr"": 204.0, ""bonus_rec_wr"": 1.44, ""def_fum_td"": 0.0, ""def_kr_yd"": 11.85, ""fum"": 0.01, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 91.0, ""pr"": 0.81, ""pr_yd"": 6.8, ""pts_half_ppr"": 3.3, ""pts_ppr"": 4.02, ""pts_std"": 2.58, ""rec"": 1.44, ""rec_0_4"": 0.29, ""rec_10_19"": 0.43, ""rec_20_29"": 0.29, ""rec_2pt"": 0.01, ""rec_30_39"": 0.14, ""rec_40p"": 0.14, ""rec_5_9"": 0.29, ""rec_fd"": 1.75, ""rec_td"": 0.14, ""rec_tgt"": 2.8, ""rec_yd"": 17.49, ""rush_2pt"": 0.0, ""rush_40p"": 0.0, ""rush_att"": 0.03, ""rush_fd"": 0.01, ""rush_td"": 0.0, ""rush_yd"": 0.11}"
8154,,RB,ATL,GB,4.32,3.98,3.64,"{""adp_dd_ppr"": 238.0, ""bonus_rec_rb"": 0.68, ""def_fum_td"": 0.0, ""def_kr_yd"": 13.83, ""fum"": 0.05, ""fum_lost"": 0.02, ""gp"": 1.0, ""pos_adp_dd_ppr"": 58.0, ""pts_half_ppr"": 3.98, ""pts_ppr"": 4.32, ""pts_std"": 3.64, ""rec"": 0.68, ""rec_0_4"": 0.14, ""rec_10_19"": 0.2, ""rec_20_29"": 0.14, ""rec_2pt"": 0.0, ""rec_30_39"": 0.07, ""rec_40p"": 0.07, ""rec_5_9"": 0.14, ""rec_fd"": 0.49, ""rec_td"": 0.04, ""rec_tgt"": 0.86, ""rec_yd"": 4.94, ""rush_2pt"": 0.01, ""rush_40p"": 0.05, ""rush_att"": 5.56, ""rush_fd"": 2.13, ""rush_td"": 0.13, ""rush_yd"": 21.33}"
11581,,RB,GB,ATL,10.3,9.45,8.6,"{""adp_dd_ppr"": 124.0, ""bonus_rec_rb"": 1.7, ""def_fum_td"": 0.0, ""fum"": 0.12, ""fum_lost"": 0.05, ""gp"": 1.0, ""pos_adp_dd_ppr"": 32.0, ""pts_half_ppr"": 9.45, ""pts_ppr"": 10.3, ""pts_std"": 8.6, ""rec"": 1.7, ""rec_0_4"": 0.34, ""rec_10_19"": 0.51, ""rec_20_29"": 0.34, ""rec_2pt"": 0.01, ""rec_30_39"": 0.17, ""rec_40p"": 0.17, ""rec_5_9"": 0.34, ""rec_fd"": 1.2, ""rec_td"": 0.12, ""rec_tgt"": 2.26, ""rec_yd"": 12.03, ""rush_2pt"": 0.02, ""rush_40p"": 0.11, ""rush_att"": 10.92, ""rush_fd"": 4.63, ""rush_td"": 0.35, ""rush_yd"": 46.34}"
3202,,TE,ATL,GB,2.34,1.88,1.41,"{""adp_dd_ppr"": 266.0, ""bonus_rec_te"": 0.94, ""def_fum_td"": 0.0, ""fum"": 0.01, ""fum_lost"": 0.0, ""gp"": 1.0, ""pos_adp_dd_ppr"": 50.0, ""pts_half_ppr"": 1.88, ""pts_ppr"": 2.34, ""pts_std"": 1.41, ""rec"": 0.94, ""rec_0_4"": 0.19, ""rec_10_19"": 0.28, ""rec_20_29"": 0.19, ""rec_2pt"": 0.0, ""rec_30_39"": 0.09, ""rec_40p"": 0.09, ""rec_5_9"": 0.19, ""rec_fd"": 0.95, ""rec_td"": 0.08, ""rec_tgt"": 1.33, ""rec_yd"": 9.54}"
8168,,WR,GB,ATL,4.69,3.87,3.05,"{""adp_dd_ppr"": 188.0, ""bonus_rec_wr"": 1.65, ""def_fum_td"": 0.0, ""def_kr_yd"": 50.46, ""fum"": 0.03, ""fum_lost"": 0.02, ""gp"": 1.0, ""pos_adp_dd_ppr"": 83.0, ""pr"": 1.29, ""pr_yd"": 11.65, ""pts_half_ppr"": 3.87, ""pts_ppr"": 4.69, ""pts_std"": 3.05, ""rec"": 1.65, ""rec_0_4"": 0.33, ""rec_10_19"": 0.49, ""rec_20_29"": 0.33, ""rec_2pt"": 0.01, ""rec_30_39"": 0.16, ""rec_40p"": 0.16, ""rec_5_9"": 0.33, ""rec_fd"": 2.0, ""rec_td"": 0.13, ""rec_tgt"": 3.02, ""rec_yd"": 20.05, ""rush_2pt"": 0.0, ""rush_40p"": 0.02, ""rush_att"": 0.35, ""rush_fd"": 0.19, ""rush_td"": 0.01, ""rush_yd"": 1.92}"
GB,,DEF,GB,ATL,8.98,8.98,8.98,"{""adp_dd_ppr"": 999.0, ""blk_kick"": 0.07, ""def_fum_td"": 0.07, ""def_kr_yd"": 112.53, ""def_pr_yd"": 130.94, ""def_td"": 0.2, ""ff"": 0.89, ""fum_rec"": 0.61, ""gp"": 1.0, ""int"": 0.82, ""pass_int_td"": 0.14, ""pos_adp_dd_ppr"": 999.0, ""pr_yd"": 18.41, ""pts_allow"": 18.75, ""pts_allow_14_20"": 1.0, ""pts_half_ppr"": 8.98, ""pts_ppr"": 8.98, ""pts_std"": 8.98, ""sack"": 2.86, ""tkl_loss"": 5.73, ""yds_allow"": 317.85, ""yds_allow_300_349"": 1.0}"
10222,,WR,GB,ATL,,,,"{""adp_dd_ppr"": 999.0, ""gp"": 1.0, ""pos_adp_dd_ppr"": 165.0, ""pr"": 0.91, ""pr_yd"": 9.7}"
