snapshot_utc,source_dt,sleeper_id,gsis_id,player,position,nfl_team,kr_rank,pr_rank,return_roles,offensive_depth_position,offensive_depth_rank,dual_role_offense_return,baseline_games,baseline_kr_yards,baseline_pr_yards,projected_kr_yards_per_game,projected_pr_yards_per_game,projected_return_td_per_game,projection_source,confidence,redraft_ecr,my_leagues,my_starting_leagues,free_agent_leagues,offensive_role_source,injury_status,practice_participation
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12543,00-0040208,Tahj Brooks,RB,CIN,2,,KR,RB,3,True,12,258.0,0.0,7.5,0.0,0.0,2025 weekly player stats,MEDIUM,302.0,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,9506,00-0038951,Sean Tucker,RB,TB,3,,KR,RB,3,True,17,597.0,0.0,5.3,0.0,0.0,2025 weekly player stats,MEDIUM,204.71,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,6039,00-0035537,Ty Johnson,RB,BUF,2,,KR,RB,2,True,17,240.0,0.0,4.9,0.0,0.0,2025 weekly player stats,MEDIUM,259.3,,,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,9225,00-0038555,Tank Bigsby,RB,PHI,2,,KR,RB,2,True,15,207.0,0.0,4.8,0.0,0.0,2025 weekly player stats,MEDIUM,171.53,18-Team Chopped — Surviving the Chamber,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8228,00-0037228,Jaylen Warren,RB,PIT,2,,KR,RB,1,True,16,205.0,0.0,4.5,0.0,0.0,2025 weekly player stats,MEDIUM,77.34,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12489,00-0040730,RJ Harvey,RB,DEN,3,,KR,RB,2,True,17,353.0,0.0,3.1,0.0,0.0,2025 weekly player stats,MEDIUM,97.46,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11571,00-0039798,Isaiah Davis,RB,NYJ,3,,KR,RB,3,True,16,323.0,0.0,3.0,0.0,0.0,2025 weekly player stats,MEDIUM,253.97,,,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11586,00-0039738,Blake Corum,RB,LAR,4,,KR,RB,2,True,17,326.0,0.0,2.9,0.0,0.0,2025 weekly player stats,MEDIUM,112.07,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13286,00-0041512,Jadarian Price,RB,SEA,2,,KR,RB,1,True,0,0.0,0.0,2.8,0.0,0.0,role-based fallback,LOW,73.22,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,5995,00-0034975,Justice Hill,RB,BAL,3,,KR,RB,2,True,10,188.0,0.0,2.8,0.0,0.0,2025 weekly player stats,MEDIUM,236.52,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11643,00-0039874,Jaylen Wright,RB,MIA,2,,KR,RB,2,True,9,0.0,0.0,2.8,0.0,0.0,role-based fallback,LOW,236.57,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13347,00-0041104,Demond Claiborne,RB,MIN,2,,KR,RB,3,True,0,0.0,0.0,2.8,0.0,0.0,role-based fallback,LOW,252.01,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8800,00-0037563,Malik Davis,RB,DAL,2,,KR,RB,2,True,10,0.0,0.0,2.8,0.0,0.0,role-based fallback,LOW,273.91,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,7594,00-0036555,Chuba Hubbard,RB,CAR,4,,KR,RB,1,True,15,233.0,0.0,2.3,0.0,0.0,2025 weekly player stats,MEDIUM,98.94,10-Team Dynasty — Dynasty V2,,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,5096,00-0034407,Ray-Ray McCloud,WR,CHI,6,4,KR+PR,RWR,3,True,6,91.0,0.0,2.3,0.0,0.0,2025 weekly player stats,MEDIUM,,,,,Sleeper depth chart,IR,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12519,00-0040735,Luther Burden III,WR,CHI,4,,KR,RWR,2,True,15,223.0,0.0,2.2,0.0,0.0,2025 weekly player stats,MEDIUM,46.99,10-Team Dynasty — Dynasty V2 | 12-Team Dynasty — One League to Rule Them All,12-Team Dynasty — One League to Rule Them All,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11647,00-0039391,Kimani Vidal,RB,LAC,3,,KR,RB,3,True,13,177.0,0.0,2.0,0.0,0.0,2025 weekly player stats,MEDIUM,201.17,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,7021,00-0036139,Rico Dowdle,RB,PIT,3,2,KR+PR,RB,2,True,17,197.0,0.0,1.7,0.0,0.0,2025 weekly player stats,MEDIUM,88.82,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11655,00-0039384,Tyrone Tracy Jr.,RB,NYG,3,,KR,RB,2,True,15,132.0,0.0,1.3,0.0,0.0,2025 weekly player stats,MEDIUM,162.2,,,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,9501,00-0038621,DeMario Douglas,WR,NE,,2,PR,SWR,3,True,16,0.0,0.0,0.0,0.7,0.0,role-based fallback,LOW,278.87,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8119,00-0037741,Jahan Dotson,WR,ATL,,4,PR,RWR,2,True,15,0.0,48.0,0.0,0.5,0.0,2025 weekly player stats,MEDIUM,276.8,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11635,00-0039915,Ladd McConkey,WR,LAC,,4,PR,SWR,1,True,16,0.0,23.0,0.0,0.2,0.0,2025 weekly player stats,MEDIUM,34.85,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8150,00-0037840,Kyren Williams,RB,LAR,,2,PR,RB,1,True,17,0.0,8.0,0.0,0.2,0.0,2025 weekly player stats,MEDIUM,41.52,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11637,00-0039901,Keon Coleman,WR,BUF,,2,PR,LWR,3,True,12,0.0,8.0,0.0,0.2,0.0,2025 weekly player stats,MEDIUM,246.9,,,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,10232,00-0038559,Michael Wilson,WR,ARI,3,,KR,RWR,2,True,17,0.0,0.0,0.0,0.0,0.0,role-based fallback,LOW,88.37,,,,Sleeper depth chart,,
