league_id,league,league_type,player_id,player,position,nfl_team,roster_state,cut_score,cut_tier,depth_chart_order,injury_status,external_rostered_leagues,recent_adds,recent_drops,reasons,league_rank,consensus_ecr,consensus_rank_type,consensus_owned_avg,consensus_scrape_date,quality_source
1370453762442797056,18-Team Chopped — Surviving the Chamber,chopped,9225,Tank Bigsby,RB,PHI,BENCH,0,HOLD,2,,2,1,1,consensus ECR 171.53 protected | strong cross-league market demand,11,171.53,ro,30.3,2026-08-28,FantasyPros consensus via DynastyProcess
1370453762442797056,18-Team Chopped — Surviving the Chamber,chopped,9753,Zach Charbonnet,RB,SEA,IR,0,HOLD,5,PUP,2,0,0,consensus ECR 154.18 protected | buried on depth chart | strong cross-league market demand,12,154.18,ro,57.6,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,9502,Tank Dell,WR,HOU,IR,35,HOLD,6,IR,1,0,2,consensus ECR 227 protected | buried on depth chart | surplus WR depth | inactive,1,227.0,dsf,27.9,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,13342,John Michael Gyllenborg,TE,KC,TAXI,33.8,HOLD,5,IR,0,0,0,buried on depth chart | little cross-league market demand | surplus TE depth | young dynasty asset protected | inactive,2,,dsf,,,heuristic only
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,9481,Luke Musgrave,TE,GB,IR,31.2,HOLD,4,PUP,0,0,0,consensus ECR 305.8 protected | buried on depth chart | little cross-league market demand | surplus TE depth,3,305.8,dsf,3.0,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,4950,Christian Kirk,WR,SF,IR,28.4,HOLD,7,IR,2,0,0,consensus ECR 235.15 protected | buried on depth chart | strong cross-league market demand | surplus WR depth | inactive,4,235.15,dsf,6.5,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,8205,Isiah Pacheco,RB,DET,BENCH,18.6,HOLD,2,IR,2,0,0,consensus ECR 217.93 protected | strong cross-league market demand | surplus RB depth | inactive,5,217.93,dsf,38.6,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,13353,Chris Brazzell,WR,CAR,TAXI,17.3,HOLD,10,IR,1,0,0,consensus ECR 202.85 protected | buried on depth chart | surplus WR depth | young dynasty asset protected | inactive,6,202.85,dsf,7.6,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,4035,Alvin Kamara,RB,NO,BENCH,15.4,HOLD,4,Questionable,2,0,0,consensus ECR 217.5 protected | buried on depth chart | strong cross-league market demand | surplus RB depth,7,217.5,dsf,41.4,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,2306,Jameis Winston,QB,NYG,BENCH,10.4,HOLD,2,,1,1,0,consensus ECR 320 protected | roster-value hold,8,320.0,dsf,1.8,2026-08-28,FantasyPros consensus via DynastyProcess
