league_id,league,roster_id,is_my_roster,player_id,player,position,nfl_team,opponent,home_away,gameday,gametime,total_line,roof,temp,wind,lineup_score,score_source,weekly_ecr,season_ecr,weekly_grade,injury_status,practice_participation,injury_note,depth_chart_order,weather_note,base_lineup_score_before_league_scoring,generic_weekly_projection,sleeper_league_projection_nonreturn,league_scoring_context_adjustment,questionable_penalty_restored,league_projection_matched_stats,base_lineup_score_before_idp,idp_points_applied,idp_source_season,idp_current_season_data,base_lineup_score_before_usage,usage_points_applied,usage_season,usage_signal,usage_latest_week,usage_games_with_stats,usage_games_with_snaps,latest_offense_snap_pct,last3_offense_snap_pct,season_offense_snap_pct,last3_targets_pg,last3_carries_pg,last3_opportunities_pg,usage_adjustment_raw,base_lineup_score_before_ol,ol_points_applied,ol_health_score,ol_grade,ol_concerns,team_pass_ol_adjustment,team_run_ol_adjustment,legacy_weather_points_removed,base_lineup_score_before_weather,weather_points_applied,weather_severity,weather_notes,forecast_temp_f,forecast_wind_mph,forecast_gust_mph,forecast_precip_probability,forecast_source,base_lineup_score_before_injury_ripple,injury_ripple_points_applied,injury_ripple_reasons,injury_ripple_confidence,base_lineup_score_before_return,return_projection_points,return_points_applied,return_roles,return_confidence,dual_role_offense_return,offensive_depth_rank
1389740418316374016,10-Team Redraft — Big Tiger Takeover,1,False,8131,Isaiah Likely,TE,NYG,TEN,home,2026-09-27,13:00,37.5,outdoors,,,9.03,Sleeper raw-stat projection × league scoring + current usage + OL health + game-time weather,10.38,112.5,C+,,,,1,,11.0,11.0,9.17,0.0,0.0,6,,,,,9.17,0.53,2026,STABLE,2,2,2,69.0,59.0,59.0,9.0,0.0,9.0,2.0,9.7,-0.07,94.4,HEALTHY,LT Andrew Thomas (LIMITED),-0.2,-0.06,-0.0,9.63,-0.6,MODERATE,wind 20 mph | gusts 41 mph,64.6,19.5,40.9,33.0,Open-Meteo game-time forecast,9.03,0.0,,,9.03,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,1,False,8148,Jameson Williams,WR,DET,NYJ,home,2026-09-27,13:00,48.5,dome,,,13.34,Sleeper raw-stat projection × league scoring + current usage,27.74,59.0,B-,,,,2,,10.9,11.6,13.25,-0.7,0.0,10,,,,,12.55,0.79,2026,STABLE,2,2,2,97.0,90.5,90.5,6.5,0.0,6.5,3.0,13.34,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,13.34,0.0,INDOOR,indoor,,,,,indoor/no weather adjustment,13.34,0.0,,,13.34,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,1,False,9488,Jaxon Smith-Njigba,WR,SEA,WAS,away,2026-09-27,13:00,40.5,outdoors,,,24.5,Sleeper raw-stat projection × league scoring + current usage,1.12,5.0,A+,,,,1,,23.6,23.1,23.21,0.5,0.0,10,,,,,23.71,0.79,2026,STABLE,2,2,2,67.0,78.5,78.5,11.0,0.0,11.0,3.0,24.5,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,24.5,0.0,LOW,no material weather signal,68.5,13.6,24.8,28.0,Open-Meteo game-time forecast,24.5,0.0,,,24.5,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,1,False,9754,Quentin Johnston,WR,LAC,BUF,away,2026-09-27,13:00,50.5,outdoors,,,10.05,Sleeper raw-stat projection × league scoring + current usage,45.52,88.5,C,,,,2,,10.1,10.2,9.62,-0.1,0.0,10,,,,,9.52,0.53,2026,STABLE,2,2,2,81.0,79.5,79.5,5.5,0.5,5.5,2.0,10.05,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,10.05,0.0,LOW,no material weather signal,65.4,14.2,21.9,4.0,Open-Meteo game-time forecast,10.05,0.0,,,10.05,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,1,False,LAC,Los Angeles Chargers,DEF,LAC,BUF,away,2026-09-27,13:00,50.5,outdoors,,,3.58,Sleeper raw-stat projection × league scoring,,,,,,,,,5.6,,3.58,0.0,0.0,7,,,,,3.58,0.0,,,,,,,,,,,,,3.58,0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,3.58,0.0,LOW,no material weather signal,65.4,14.2,21.9,4.0,Open-Meteo game-time forecast,3.58,0.0,,,3.58,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,11631,Brian Thomas,WR,JAX,NE,home,2026-09-27,13:00,46.5,outdoors,,,9.19,Sleeper raw-stat projection × league scoring + current usage + OL health,48.98,86.0,C-,,,,2,,9.0,9.7,9.77,-0.7,0.0,10,,,,,9.07,0.26,2026,STABLE,2,2,2,54.0,44.5,44.5,5.5,0.0,5.5,1.0,9.33,-0.14,90.0,HEALTHY,LT Anton Harrison (AT RISK),-0.35,-0.11,-0.0,9.19,0.0,LOW,no material weather signal,84.7,1.8,4.0,0.0,Open-Meteo game-time forecast,9.19,0.0,,,9.19,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,12493,Oronde Gadsden,TE,LAC,BUF,away,2026-09-27,13:00,50.5,outdoors,,,11.62,Sleeper raw-stat projection × league scoring + injury ripple,16.63,154.67,D+,,,,1,,11.1,10.0,9.67,1.1,0.0,6,,,,,10.77,0.0,2026,STABLE,2,2,2,44.0,31.0,31.0,2.0,0.0,2.0,0.0,10.77,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,10.77,0.0,LOW,no material weather signal,65.4,14.2,21.9,4.0,Open-Meteo game-time forecast,10.77,0.85,TE1 OUT/IR: TE2 route/target opportunity rises,HIGH,11.62,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,12517,Colston Loveland,TE,CHI,PHI,home,2026-09-28,20:15,41.5,outdoors,,,10.01,Sleeper raw-stat projection × league scoring + current usage + OL health + injury ripple,14.08,71.17,C-,,,,1,,10.7,10.2,9.39,0.5,0.0,10,,,,,9.89,0.53,2026,STABLE,2,2,2,86.0,86.5,86.5,2.5,0.0,2.5,2.0,10.42,-0.05,91.7,HEALTHY,LG Joe Thuney (AT RISK),-0.11,-0.2,-0.0,10.37,0.0,LOW,no material weather signal,65.3,5.3,7.2,0.0,Open-Meteo game-time forecast,10.37,-0.36,QB1 DOUBTFUL: pass-catcher efficiency risk with backup QB,MEDIUM,10.01,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,12519,Luther Burden,WR,CHI,PHI,home,2026-09-28,20:15,41.5,outdoors,,,9.33,Sleeper raw-stat projection × league scoring + current usage + OL health + injury ripple,36.45,56.67,C,,,,2,,10.2,10.9,9.9,-0.7,0.0,10,,,,,9.2,0.53,2026,STABLE,2,2,2,57.0,65.0,65.0,6.0,0.5,6.0,2.0,9.73,-0.04,91.7,HEALTHY,LG Joe Thuney (AT RISK),-0.11,-0.2,-0.0,9.69,0.0,LOW,no material weather signal,65.3,5.3,7.2,0.0,Open-Meteo game-time forecast,9.69,-0.36,QB1 DOUBTFUL: pass-catcher efficiency risk with backup QB,MEDIUM,9.33,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,12527,Ashton Jeanty,RB,LV,NO,away,2026-09-27,16:25,43.5,dome,,,17.94,Sleeper raw-stat projection × league scoring + current usage,5.55,15.67,A,,,,1,,19.6,19.1,16.65,0.5,0.0,10,,,,,17.15,0.79,2026,STABLE,2,2,2,81.0,77.5,77.5,6.5,22.0,28.5,3.0,17.94,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,17.94,0.0,INDOOR,indoor,,,,,indoor/no weather adjustment,17.94,0.0,,,17.94,0.0,0.0,,,,
