snapshot_utc,source_dt,team,slot,starter,sleeper_id,depth_rank,health_bucket,risk_weight,status_detail,official_injury_report_available
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DEN,C,Luke Wattenberg,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DEN,RG,Quinn Meinerz,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DEN,RT,Mike McGlinchey,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DET,LT,Penei Sewell,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DET,LG,Christian Mahogany,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DET,C,Juice Scruggs,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DET,RG,Tate Ratledge,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,DET,RT,Blake Miller,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,GB,LT,Jordan Morgan,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,GB,LG,Aaron Banks,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,GB,C,Sean Rhyan,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,GB,RG,Jacob Monk,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,GB,RT,Zach Bako-Bewele,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,HOU,LT,Aireontae Ersery,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,HOU,LG,Wyatt Teller,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,HOU,C,Keylan Rutledge,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,HOU,RG,Ed Ingram,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,HOU,RT,Braden Smith,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,IND,LT,Bernhard Raimann,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,IND,LG,Quenton Nelson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,IND,C,Tanor Bortolini,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,IND,RG,Matt Goncalves,,1,UNMAPPED,0.15,,False
