snapshot_utc,league_id,name,season,status,total_rosters,draft_id,previous_league_id,avatar,roster_positions,setting_best_ball,setting_waiver_budget,setting_disable_adds,setting_capacity_override,setting_waiver_bid_min,setting_taxi_deadline,setting_draft_rounds,setting_reserve_allow_na,setting_start_week,setting_playoff_seed_type,setting_playoff_teams,setting_veto_votes_needed,setting_num_teams,setting_daily_waivers_hour,setting_playoff_type,setting_taxi_slots,setting_daily_waivers_days,setting_playoff_week_start,setting_waiver_clear_days,setting_reserve_allow_doubtful,setting_commissioner_direct_invite,setting_veto_auto_poll,setting_reserve_allow_dnr,setting_taxi_allow_vets,setting_waiver_day_of_week,setting_playoff_round_type,setting_reserve_allow_out,setting_reserve_allow_sus,setting_veto_show_votes,setting_trade_deadline,setting_taxi_years,setting_daily_waivers,setting_disable_trades,setting_pick_trading,setting_type,setting_max_keepers,setting_waiver_type,setting_league_average_match,setting_trade_review_days,setting_bench_lock,setting_offseason_adds,setting_leg,setting_reserve_slots,setting_reserve_allow_cov,setting_daily_waivers_last_ran,scoring_sack,scoring_fgm_40_49,scoring_pass_int,scoring_pts_allow_0,scoring_pass_2pt,scoring_st_td,scoring_rec_td,scoring_fgm_30_39,scoring_xpmiss,scoring_rush_td_50p,scoring_rush_td,scoring_pass_td_40p,scoring_rec_2pt,scoring_st_fum_rec,scoring_fgmiss,scoring_ff,scoring_rec,scoring_pts_allow_14_20,scoring_fgm_0_19,scoring_int,scoring_def_st_fum_rec,scoring_fum_lost,scoring_pts_allow_1_6,scoring_fgm_20_29,scoring_pts_allow_21_27,scoring_xpm,scoring_pass_td_50p,scoring_rec_40p,scoring_rush_2pt,scoring_fum_rec,scoring_def_st_td,scoring_pass_cmp_40p,scoring_fgm_50p,scoring_def_td,scoring_rec_td_40p,scoring_safe,scoring_pass_yd,scoring_rec_td_50p,scoring_blk_kick,scoring_pass_td,scoring_rush_yd,scoring_yds_allow_0_100,scoring_rush_40p,scoring_fum,scoring_pts_allow_28_34,scoring_pts_allow_35p,scoring_fum_rec_td,scoring_rec_yd,scoring_rush_td_40p,scoring_def_st_ff,scoring_pts_allow_7_13,scoring_st_ff,setting_disable_elimination,setting_pick_timer,setting_sub_start_time_eligibility,setting_sub_lock_if_starter_active,setting_faab_suggestions,setting_last_chopped_leg,setting_max_subs,scoring_qb_hit,scoring_bonus_rec_te,scoring_fgm_yds,scoring_def_forced_punts,scoring_bonus_rec_yd_100,scoring_bonus_rush_yd_100,scoring_fgmiss_50p,scoring_bonus_pass_yd_400,scoring_rec_0_4,scoring_yds_allow_450_499,scoring_blk_kick_ret_yd,scoring_def_pr_yd,scoring_rec_30_39,scoring_sack_yd,scoring_fgm_yds_over_30,scoring_yds_allow_400_449,scoring_tkl_ast,scoring_rec_20_29,scoring_idp_blk_kick,scoring_fgm_50_59,scoring_idp_fum_ret_yd,scoring_def_kr_yd,scoring_bonus_fd_wr,scoring_pts_allow,scoring_def_4_and_stop,scoring_fg_ret_yd,scoring_idp_tkl,scoring_yds_allow_550p,scoring_def_st_tkl_solo,scoring_yds_allow_350_399,scoring_fgm,scoring_idp_sack_yd,scoring_bonus_rush_rec_yd_100,scoring_bonus_pass_cmp_25,scoring_idp_tkl_loss,scoring_rush_fd,scoring_pass_int_td,scoring_int_ret_yd,scoring_idp_tkl_solo,scoring_pass_att,scoring_bonus_def_fum_td_50p,scoring_idp_int,scoring_bonus_sack_2p,scoring_fgmiss_30_39,scoring_yds_allow_200_299,scoring_idp_int_ret_yd,scoring_idp_safe,scoring_def_2pt,scoring_idp_def_td,scoring_idp_pass_def_3p,scoring_rec_fd,scoring_kr_yd,scoring_fgm_60p,scoring_fgmiss_20_29,scoring_rush_att,scoring_st_tkl_solo,scoring_yds_allow,scoring_rec_5_9,scoring_idp_sack,scoring_fgmiss_60p,scoring_yds_allow_500_549,scoring_bonus_rec_wr,scoring_bonus_pass_yd_300,scoring_pass_sack,scoring_def_3_and_out,scoring_fgmiss_50_59,scoring_fgmiss_0_19,scoring_pass_cmp,scoring_tkl_loss,scoring_def_pass_def,scoring_yds_allow_300_349,scoring_idp_pass_def,scoring_bonus_rush_td_qb,scoring_rec_10_19,scoring_bonus_rec_yd_200,scoring_tkl,scoring_bonus_tkl_10p,scoring_idp_fum_rec,scoring_pass_fd,scoring_bonus_rush_yd_200,scoring_fgmiss_40_49,scoring_tkl_solo,scoring_bonus_rush_att_20,scoring_yds_allow_100_199,scoring_bonus_def_int_td_50p,scoring_idp_qb_hit,scoring_bonus_fd_qb,scoring_bonus_rec_rb,scoring_pr_yd,scoring_bonus_rush_rec_yd_200,scoring_bonus_fd_te,scoring_bonus_fd_rb,scoring_fum_ret_yd,scoring_pass_inc,scoring_idp_ff,scoring_idp_tkl_ast
2026-08-31T17:35:22+00:00,1389740418316374016,Big Tiger Takeover,2026,in_season,10,1389740418316374017,1257056121265332224,,"[""QB"", ""RB"", ""RB"", ""WR"", ""WR"", ""TE"", ""FLEX"", ""FLEX"", ""K"", ""DEF"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN""]",0,100,0,0,0,0,3,1,1,0,6,7,10,0,1,0,5461,15,2,1,0,0,1,0,2,0,1,1,0,11,0,0,0,1,0,1,0,0,2,0,0,1,1,1,23,1.0,4.0,-1.0,20.0,2.0,6.0,6.0,3.0,-1.0,3.0,6.0,2.0,2.0,1.0,-1.0,1.0,1.0,1.0,3.0,2.0,1.0,-2.0,7.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,6.0,2.0,2.0,0.04,3.0,2.0,6.0,0.1,5.0,2.0,0.0,-1.0,-4.0,6.0,0.1,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31T17:35:22+00:00,1370453762442797056,Surviving the Chamber,2026,in_season,18,1370453762451185664,1262800153056657408,8ca15692b9fdc93f55164ed4893af456,"[""QB"", ""RB"", ""RB"", ""WR"", ""WR"", ""TE"", ""FLEX"", ""FLEX"", ""K"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN""]",0,1000,0,0,0,0,3,0,1,0,,9,18,0,0,0,5461,0,2,0,0,0,0,0,2,0,1,0,0,11,0,0,1,0,3,1,2,0,2,0,0,1,2,1,23,1.0,5.0,-2.0,10.0,2.0,8.0,6.0,4.0,-1.0,1.0,6.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,-2.0,7.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,0.0,6.0,1.0,2.0,0.04,1.0,2.0,6.0,0.1,0.0,1.0,0.0,-1.0,-4.0,6.0,0.1,1.0,1.0,4.0,2.0,1,120,0,0,1,17,0,0.0,0.5,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10.0,-3.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-31T17:35:22+00:00,1370218620990263296,One League to Rule Them All,2026,in_season,12,1370218623456526336,,3cab6e5718b4488d549c7d7f3df27484,"[""QB"", ""RB"", ""RB"", ""WR"", ""WR"", ""WR"", ""TE"", ""FLEX"", ""FLEX"", ""SUPER_FLEX"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN""]",0,100,0,0,0,4,4,0,1,0,6,6,12,0,0,5,10666,15,2,0,0,0,0,1,2,0,1,0,0,14,2,1,0,1,2,1,2,0,1,0,0,1,5,0,31,1.0,4.0,-2.0,10.0,2.0,6.0,6.0,3.0,-1.0,,6.0,,2.0,1.0,-1.0,1.0,1.0,1.0,3.0,2.0,1.0,-2.0,7.0,3.0,0.0,1.0,,,2.0,2.0,6.0,,5.0,6.0,,2.0,0.04,,2.0,6.0,0.1,,,-1.0,-1.0,-4.0,6.0,0.1,,1.0,4.0,1.0,,,0,0,0,,0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31T17:35:22+00:00,1366076769534251008,Dynasty V2,2026,in_season,10,1366076770662518784,,,"[""QB"", ""RB"", ""RB"", ""WR"", ""WR"", ""TE"", ""FLEX"", ""FLEX"", ""SUPER_FLEX"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN""]",0,100,0,0,,4,4,0,1,1,6,5,10,0,1,6,5461,15,2,0,0,1,0,1,2,0,0,1,0,14,2,0,0,1,2,1,2,0,2,0,0,1,2,0,13,1.0,4.0,-2.0,10.0,2.0,6.0,6.0,3.0,-1.0,,6.0,1.0,2.0,2.0,-1.0,1.0,1.0,1.0,3.0,2.0,1.0,-2.0,7.0,3.0,0.0,1.0,,1.0,2.0,2.0,6.0,1.0,,6.0,1.0,2.0,0.04,,2.0,6.0,0.1,,1.0,0.0,-1.0,-4.0,6.0,0.1,1.0,1.0,4.0,2.0,,,0,0,1,,1,,0.5,,,2.0,2.0,,3.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,
2026-08-31T17:35:22+00:00,1359546418284494848,League Is Rigged V2,2026,pre_draft,12,1359546419505029120,,,"[""QB"", ""RB"", ""RB"", ""WR"", ""WR"", ""TE"", ""FLEX"", ""K"", ""DL"", ""LB"", ""DB"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN"", ""BN""]",0,100,0,0,0,0,3,0,,0,6,6,12,0,1,0,5461,15,2,0,0,1,0,0,2,0,0,0,0,14,0,0,0,1,1,2,0,0,1,0,0,1,2,0,,1.0,4.0,-2.0,10.0,2.0,6.0,6.0,3.0,-1.0,1.0,6.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,-2.0,7.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,6.0,1.0,,6.0,1.0,2.0,0.04,1.0,2.0,6.0,0.1,,1.0,0.0,-1.0,-4.0,6.0,0.1,1.0,0.0,4.0,3.0,,,0,0,1,,0,,,,,1.0,1.0,-2.0,3.0,,,,,,,,,,,3.0,5.0,,,,,,,0.0,,,,,,,,2.0,0.5,,,2.0,,,6.0,,-2.0,,,2.0,,6.0,,,,7.0,-2.0,,2.0,,,2.0,-0.5,,,1.0,,,-2.0,-2.0,0.2,,,,3.0,,,3.0,,,3.0,,3.0,-2.0,,,,,1.0,,,,,,,,,3.0,1.0
