snapshot_utc,league_id,user_id,display_name,team_name,is_owner,avatar
2026-08-31T17:37:18+00:00,1366076769534251008,770802446909222912,zthompson1533,,False,73a0b1b438b4ab4e42214a2aa28bc35b
2026-08-31T17:37:18+00:00,1366076769534251008,779583277362245632,Blatzzy,Route 66ers,True,b319fdf8b7b5b0359d3c78622ba4d70c
2026-08-31T17:37:18+00:00,1366076769534251008,779583497248550912,manson1,Manson,False,6b73e4fbf51742568178c095ccbd366a
2026-08-31T17:37:18+00:00,1366076769534251008,854202549119594496,GOOBERTON,,False,55885da7c90ce2e22e4d58d78ffff4f1
2026-08-31T17:37:18+00:00,1366076769534251008,861663770647339008,jblatz,,False,b319fdf8b7b5b0359d3c78622ba4d70c
2026-08-31T17:37:18+00:00,1366076769534251008,996120627872493568,Felici42,,False,b319fdf8b7b5b0359d3c78622ba4d70c
2026-08-31T17:37:18+00:00,1366076769534251008,1126612181929336832,cburt31,,False,f0edbf4278f53f9425db175073df6584
2026-08-31T17:37:18+00:00,1366076769534251008,1127380007921328128,ArogersAchilles,,False,e7af4deab0289b4f5505646424895246
2026-08-31T17:37:18+00:00,1366076769534251008,1128535741111402496,TheANT2,,False,ca248a632cd211a5c2085339da807645
2026-08-31T17:37:18+00:00,1359546418284494848,609154836893601792,Stutterboyzzzz,,False,
2026-08-31T17:37:18+00:00,1359546418284494848,770802446909222912,zthompson1533,,False,73a0b1b438b4ab4e42214a2aa28bc35b
2026-08-31T17:37:18+00:00,1359546418284494848,779583277362245632,Blatzzy,Lagrange 66ers,True,b319fdf8b7b5b0359d3c78622ba4d70c
2026-08-31T17:37:18+00:00,1359546418284494848,779583497248550912,manson1,Njigbas in paris,False,6b73e4fbf51742568178c095ccbd366a
2026-08-31T17:37:18+00:00,1359546418284494848,854202549119594496,GOOBERTON,,False,55885da7c90ce2e22e4d58d78ffff4f1
2026-08-31T17:37:18+00:00,1359546418284494848,860386640982589440,taybasco,League is rigged,False,fce08e431ff4d785441b2f2772609044
2026-08-31T17:37:18+00:00,1359546418284494848,861663770647339008,jblatz,,False,b319fdf8b7b5b0359d3c78622ba4d70c
2026-08-31T17:37:18+00:00,1359546418284494848,872239354578415616,liamblatz,,False,82aec8e811b839b8ec25d7b458afd57b
2026-08-31T17:37:18+00:00,1359546418284494848,1128436496693874688,Saxis,,False,e7af4deab0289b4f5505646424895246
2026-08-31T17:37:18+00:00,1359546418284494848,1129803532904914944,alenhart85,,False,4f4090e5e9c3941414db40a871e3e909
2026-08-31T17:37:18+00:00,1359546418284494848,1262823409977393152,2kyle,,False,c16f86edb4f6ee356af48e9edca95c68
2026-08-31T17:37:18+00:00,1359546418284494848,1266474061580480512,tylercatlett1,,False,51385ba57cd089261f6de9ce483b8716
