league_id,league,sleeper_id,player,position,nfl_team,return_roles,dual_role_offense_return,return_projection_points,confidence,roster_state,offensive_depth_rank,offensive_depth_position,offensive_role_source,injury_status,practice_participation
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13301,Antonio Williams,WR,WAS,PR,True,0.0,LOW,PREDRAFT,3,SWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8122,Bam Knight,RB,ARI,PR,True,0.0,MEDIUM,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12490,Bhayshul Tuten,RB,JAX,KR,True,0.0,HIGH,PREDRAFT,1,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11586,Blake Corum,RB,LAR,KR,True,0.0,MEDIUM,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12455,Brashard Smith,RB,KC,KR+PR,True,0.0,MEDIUM,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8154,Brian Robinson,RB,ATL,KR,True,0.0,HIGH,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7594,Chuba Hubbard,RB,CAR,KR,True,0.0,MEDIUM,PREDRAFT,1,RB,Sleeper depth chart,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,9501,DeMario Douglas,WR,NE,PR,True,0.0,LOW,PREDRAFT,3,SWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13347,Demond Claiborne,RB,MIN,KR,True,0.0,LOW,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12469,Dylan Sampson,RB,CLE,KR,True,0.0,MEDIUM,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13337,Emmett Johnson,RB,KC,KR,True,0.0,LOW,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11571,Isaiah Davis,RB,NYJ,KR,True,0.0,MEDIUM,PREDRAFT,3,RB,Sleeper depth chart,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11237,Jacob Saylors,RB,DET,KR,True,0.0,HIGH,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13286,Jadarian Price,RB,SEA,KR,True,0.0,LOW,PREDRAFT,1,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8119,Jahan Dotson,WR,ATL,PR,True,0.0,MEDIUM,PREDRAFT,2,RWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8228,Jaylen Warren,RB,PIT,KR,True,0.0,MEDIUM,PREDRAFT,1,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11643,Jaylen Wright,RB,MIA,KR,True,0.0,LOW,PREDRAFT,2,RB,Sleeper depth chart,,
