league_id,roster_id,is_my_roster,player_id,player,position,nfl_team,keeper_round,keeper_cost_source,redraft_ecr,market_round,round_surplus,keeper_value_score,idp_projection_proxy
1359546418284494848,10,False,11237,Jacob Saylors,RB,DET,16,draft round,286.24,17,-1,-3.9,
1359546418284494848,6,False,11539,Jake Bates,K,DET,15,draft round,220.72,17,-2,-4.7,
1359546418284494848,3,False,9502,Tank Dell,WR,HOU,15,draft round,226.41,17,-2,-5.1,
1359546418284494848,7,False,10859,Sam LaPorta,TE,DET,4,draft round,86.19,8,-4,-5.9,
1359546418284494848,9,False,8110,Jake Ferguson,TE,DAL,6,draft round,119.93,10,-4,-8.6,
1359546418284494848,5,False,13413,Cyrus Allen,WR,KC,14,draft round,219.45,17,-3,-10.6,
1359546418284494848,9,False,3451,Ka'imi Fairbairn,K,HOU,13,draft round,192.36,17,-4,-14.4,
1359546418284494848,4,False,11786,Cam Little,K,JAX,13,draft round,198.39,17,-4,-14.9,
1359546418284494848,3,False,4943,Sam Darnold,QB,SEA,7,FA/default round,138.31,12,-5,-16.1,
1359546418284494848,10,False,2747,Jason Myers,K,SEA,12,draft round,200.45,17,-5,-21.0,
1359546418284494848,7,False,8259,Cameron Dicker,K,LAC,11,draft round,194.55,17,-6,-26.6,
1359546418284494848,2,False,11533,Brandon Aubrey,K,DAL,8,draft round,185.55,16,-8,-37.8,
1359546418284494848,5,False,12530,Travis Hunter,DB,JAX,7,draft round,197.59,17,-10,-52.7,4.89
1359546418284494848,2,False,8800,Malik Davis,RB,DAL,7,FA/default round,237.71,17,-10,-54.0,
1359546418284494848,1,True,12015,Harrison Mevis,K,LAR,17,draft round,,,,0.0,
1359546418284494848,4,False,13376,Caleb Downs,DB,DAL,10,draft round,,,,0.0,
1359546418284494848,7,False,167,Tom Brady,QB,,15,draft round,,,,0.0,
1359546418284494848,12,False,12711,Tyler Loop,K,BAL,17,draft round,,,,0.0,
