player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
4035,Alvin Kamara,RB,NO,True,Active,Questionable,,RB,4,FA,OWNED,BENCH,OWNED,PREDRAFT,1,3,1,0,0,False,True
10219,Chris Rodriguez,RB,JAX,True,Active,,,RB,2,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
11435,Emanuel Wilson,RB,SEA,True,Active,Questionable,,RB,3,FA,OWNED,BENCH,OWNED,PREDRAFT,1,3,1,0,0,False,True
13337,Emmett Johnson,RB,KC,True,Active,,,RB,2,FA,OWNED,OWNED,TAXI,PREDRAFT,1,3,1,0,0,False,True
8205,Isiah Pacheco,RB,DET,True,Inactive,IR,,RB,4,FA,OWNED,BENCH,OWNED,PREDRAFT,1,3,1,0,0,False,True
11237,Jacob Saylors,RB,DET,True,Active,,,RB,3,FA,START,OWNED,OWNED,PREDRAFT,1,3,1,1,0,False,True
8800,Malik Davis,RB,DAL,True,Active,,,RB,2,FA,BENCH,OWNED,OWNED,PREDRAFT,1,3,1,0,0,False,True
9225,Tank Bigsby,RB,PHI,True,Active,,,RB,2,FA,BENCH,OWNED,OWNED,PREDRAFT,1,3,1,0,0,False,True
12474,Woody Marks,RB,HOU,True,Active,,,RB,2,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
9753,Zach Charbonnet,RB,SEA,True,Active,PUP,,RB,4,FA,IR,OWNED,OWNED,PREDRAFT,1,3,1,0,0,False,True
11603,AJ Barner,TE,SEA,True,Active,,,TE,1,FA,OWNED,BENCH,OWNED,PREDRAFT,1,3,1,0,0,False,True
5001,Dalton Schultz,TE,HOU,True,Active,,,TE,1,FA,OWNED,BENCH,OWNED,PREDRAFT,1,3,1,0,0,False,True
2505,Darren Waller,TE,CAR,True,Active,,,TE,1,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
7600,Pat Freiermuth,TE,PIT,True,Active,,,TE,1,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
4950,Christian Kirk,WR,SF,True,Inactive,IR,,SWR,7,FA,OWNED,IR,OWNED,PREDRAFT,1,3,1,0,0,False,True
11834,Devaughn Vele,WR,NO,True,Active,,,SWR,2,FA,OWNED,BENCH,OWNED,PREDRAFT,1,3,1,0,0,False,True
11610,Malik Washington,WR,MIA,True,Active,,,SWR,1,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
13276,Omar Cooper,WR,NYJ,True,Active,,,SWR,3,FA,OWNED,TAXI,OWNED,PREDRAFT,1,3,1,0,0,False,True
12492,Pat Bryant,WR,DEN,True,Active,,,SWR,3,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
7571,Rashod Bateman,WR,BAL,True,Active,,,LWR,2,FA,OWNED,OWNED,BENCH,PREDRAFT,1,3,1,0,0,False,True
11533,Brandon Aubrey,K,DAL,True,Active,,,K,1,START,OWNED,FA,FA,PREDRAFT,2,2,1,1,0,True,True
8259,Cameron Dicker,K,LAC,True,Active,Questionable,,K,1,OWNED,START,FA,FA,PREDRAFT,2,2,1,1,0,True,True
13272,Carson Beck,QB,ARI,True,Active,,,QB,3,FA,FA,OWNED,TAXI,PREDRAFT,2,2,1,0,0,True,True
